id,student_id,word_id,correct,created_at,updated_at,word_test_id
135,2,4642,true,2020-10-11 19:54:41 +0900,2020-10-11 19:54:41 +0900,20
136,2,4727,false,2020-10-11 19:54:46 +0900,2020-10-11 19:54:46 +0900,20
137,2,4666,true,2020-10-11 19:54:51 +0900,2020-10-11 19:54:51 +0900,20
138,2,4650,true,2020-10-11 19:54:55 +0900,2020-10-11 19:54:55 +0900,20
139,2,4735,true,2020-10-11 19:54:59 +0900,2020-10-11 19:54:59 +0900,20
140,2,4697,true,2020-10-11 19:55:04 +0900,2020-10-11 19:55:04 +0900,20
141,2,4681,false,2020-10-11 19:55:08 +0900,2020-10-11 19:55:08 +0900,20
142,2,315,true,2020-10-11 21:15:16 +0900,2020-10-11 21:15:16 +0900,21
143,2,546,true,2020-10-11 21:15:20 +0900,2020-10-11 21:15:20 +0900,21
144,2,400,true,2020-10-11 21:15:24 +0900,2020-10-11 21:15:24 +0900,21
145,2,44,true,2020-10-11 21:15:28 +0900,2020-10-11 21:15:28 +0900,21
146,2,485,true,2020-10-11 21:15:32 +0900,2020-10-11 21:15:32 +0900,21
147,2,129,false,2020-10-11 21:15:37 +0900,2020-10-11 21:15:37 +0900,21
148,2,570,true,2020-10-11 21:15:41 +0900,2020-10-11 21:15:41 +0900,21
149,2,214,true,2020-10-11 21:15:45 +0900,2020-10-11 21:15:45 +0900,21
150,2,68,true,2020-10-11 21:15:49 +0900,2020-10-11 21:15:49 +0900,21
151,2,299,true,2020-10-11 21:15:53 +0900,2020-10-11 21:15:53 +0900,21
152,2,2889,true,2020-10-12 00:55:38 +0900,2020-10-12 00:55:38 +0900,24
153,2,2913,true,2020-10-12 00:55:41 +0900,2020-10-12 00:55:41 +0900,24
154,2,2897,true,2020-10-12 00:55:45 +0900,2020-10-12 00:55:45 +0900,24
155,2,2881,true,2020-10-12 00:55:49 +0900,2020-10-12 00:55:49 +0900,24
156,2,2905,true,2020-10-12 00:55:53 +0900,2020-10-12 00:55:53 +0900,24
157,2,2928,true,2020-10-12 00:55:57 +0900,2020-10-12 00:55:57 +0900,24
158,2,2867,true,2020-10-12 00:56:01 +0900,2020-10-12 00:56:01 +0900,24
159,2,2851,true,2020-10-12 00:56:05 +0900,2020-10-12 00:56:05 +0900,24
160,2,2936,true,2020-10-12 00:56:08 +0900,2020-10-12 00:56:08 +0900,24
161,2,2875,true,2020-10-12 00:56:12 +0900,2020-10-12 00:56:12 +0900,24
162,2,415,true,2020-10-12 17:43:10 +0900,2020-10-12 17:43:10 +0900,25
163,2,269,true,2020-10-12 17:43:14 +0900,2020-10-12 17:43:14 +0900,25
164,2,123,true,2020-10-12 17:43:18 +0900,2020-10-12 17:43:18 +0900,25
165,2,500,true,2020-10-12 17:43:22 +0900,2020-10-12 17:43:22 +0900,25
166,2,354,true,2020-10-12 17:43:26 +0900,2020-10-12 17:43:26 +0900,25
167,2,585,true,2020-10-12 17:43:30 +0900,2020-10-12 17:43:30 +0900,25
168,2,439,true,2020-10-12 17:43:34 +0900,2020-10-12 17:43:34 +0900,25
169,2,83,true,2020-10-12 17:43:38 +0900,2020-10-12 17:43:38 +0900,25
170,2,524,true,2020-10-12 17:43:43 +0900,2020-10-12 17:43:43 +0900,25
171,2,168,true,2020-10-12 17:43:47 +0900,2020-10-12 17:43:47 +0900,25
172,9,3984,false,2020-10-12 21:58:49 +0900,2020-10-12 21:58:49 +0900,27
173,9,4008,false,2020-10-12 21:58:54 +0900,2020-10-12 21:58:54 +0900,27
174,9,3992,false,2020-10-12 21:58:59 +0900,2020-10-12 21:58:59 +0900,27
175,9,3884,true,2020-10-12 21:59:17 +0900,2020-10-12 21:59:17 +0900,29
176,9,3908,false,2020-10-12 21:59:21 +0900,2020-10-12 21:59:21 +0900,29
177,9,3892,true,2020-10-12 21:59:25 +0900,2020-10-12 21:59:25 +0900,29
178,9,3916,false,2020-10-12 21:59:29 +0900,2020-10-12 21:59:29 +0900,29
179,9,3908,true,2020-10-12 21:59:49 +0900,2020-10-12 21:59:49 +0900,30
180,9,3916,false,2020-10-12 21:59:54 +0900,2020-10-12 21:59:54 +0900,30
181,9,3900,true,2020-10-12 22:02:06 +0900,2020-10-12 22:02:06 +0900,32
182,9,3923,false,2020-10-12 22:02:08 +0900,2020-10-12 22:02:08 +0900,32
183,9,3862,true,2020-10-12 22:02:12 +0900,2020-10-12 22:02:12 +0900,32
184,9,3846,true,2020-10-12 22:02:16 +0900,2020-10-12 22:02:16 +0900,32
185,9,3931,true,2020-10-12 22:02:21 +0900,2020-10-12 22:02:21 +0900,32
186,9,3870,true,2020-10-12 22:02:25 +0900,2020-10-12 22:02:25 +0900,32
187,9,3854,true,2020-10-12 22:02:29 +0900,2020-10-12 22:02:29 +0900,32
188,9,3838,false,2020-10-12 22:02:34 +0900,2020-10-12 22:02:34 +0900,32
189,9,3885,true,2020-10-12 22:02:38 +0900,2020-10-12 22:02:38 +0900,32
190,9,3909,true,2020-10-12 22:02:43 +0900,2020-10-12 22:02:43 +0900,32
191,9,3893,true,2020-10-12 22:03:05 +0900,2020-10-12 22:03:05 +0900,34
192,9,3917,false,2020-10-12 22:03:10 +0900,2020-10-12 22:03:10 +0900,34
193,9,3901,true,2020-10-12 22:03:13 +0900,2020-10-12 22:03:13 +0900,34
194,9,3839,true,2020-10-12 22:03:17 +0900,2020-10-12 22:03:17 +0900,34
195,9,3924,true,2020-10-12 22:03:21 +0900,2020-10-12 22:03:21 +0900,34
196,9,3863,true,2020-10-12 22:03:25 +0900,2020-10-12 22:03:25 +0900,34
197,9,3847,true,2020-10-12 22:03:30 +0900,2020-10-12 22:03:30 +0900,34
198,9,3932,false,2020-10-12 22:03:35 +0900,2020-10-12 22:03:35 +0900,34
199,9,3871,true,2020-10-12 22:03:40 +0900,2020-10-12 22:03:40 +0900,34
200,9,3855,true,2020-10-12 22:03:43 +0900,2020-10-12 22:03:43 +0900,34
201,9,3902,true,2020-10-12 22:04:05 +0900,2020-10-12 22:04:05 +0900,36
202,9,3886,false,2020-10-12 22:04:09 +0900,2020-10-12 22:04:09 +0900,36
203,9,3910,true,2020-10-12 22:04:14 +0900,2020-10-12 22:04:14 +0900,36
204,9,3894,false,2020-10-12 22:04:18 +0900,2020-10-12 22:04:18 +0900,36
205,9,3918,true,2020-10-12 22:04:23 +0900,2020-10-12 22:04:23 +0900,36
206,9,3878,false,2020-10-12 22:04:28 +0900,2020-10-12 22:04:28 +0900,36
207,9,3840,true,2020-10-12 22:04:32 +0900,2020-10-12 22:04:32 +0900,36
208,9,3925,true,2020-10-12 22:04:36 +0900,2020-10-12 22:04:36 +0900,36
209,9,3864,false,2020-10-12 22:04:41 +0900,2020-10-12 22:04:41 +0900,36
210,9,3886,true,2020-10-12 22:04:49 +0900,2020-10-12 22:04:49 +0900,37
211,9,3923,true,2020-10-12 22:04:52 +0900,2020-10-12 22:04:52 +0900,37
212,9,3894,true,2020-10-12 22:04:55 +0900,2020-10-12 22:04:55 +0900,37
213,9,3878,true,2020-10-12 22:04:59 +0900,2020-10-12 22:04:59 +0900,37
214,9,3932,true,2020-10-12 22:05:03 +0900,2020-10-12 22:05:03 +0900,37
215,9,3838,true,2020-10-12 22:05:06 +0900,2020-10-12 22:05:06 +0900,37
216,9,3864,false,2020-10-12 22:05:11 +0900,2020-10-12 22:05:11 +0900,37
217,9,3917,true,2020-10-12 22:05:15 +0900,2020-10-12 22:05:15 +0900,37
218,9,3908,true,2020-10-12 22:05:19 +0900,2020-10-12 22:05:19 +0900,37
219,9,4084,true,2020-10-12 22:05:55 +0900,2020-10-12 22:05:55 +0900,38
220,9,4108,false,2020-10-12 22:05:59 +0900,2020-10-12 22:05:59 +0900,38
221,9,4092,false,2020-10-12 22:06:04 +0900,2020-10-12 22:06:04 +0900,38
222,9,4116,true,2020-10-12 22:06:08 +0900,2020-10-12 22:06:08 +0900,38
223,9,4100,true,2020-10-12 22:06:12 +0900,2020-10-12 22:06:12 +0900,38
224,9,4123,false,2020-10-12 22:06:17 +0900,2020-10-12 22:06:17 +0900,38
225,9,4062,true,2020-10-12 22:06:22 +0900,2020-10-12 22:06:22 +0900,38
226,9,4046,true,2020-10-12 22:06:25 +0900,2020-10-12 22:06:25 +0900,38
227,9,4131,true,2020-10-12 22:06:30 +0900,2020-10-12 22:06:30 +0900,38
228,9,4070,false,2020-10-12 22:06:35 +0900,2020-10-12 22:06:35 +0900,38
229,9,4054,false,2020-10-12 22:06:39 +0900,2020-10-12 22:06:39 +0900,38
230,9,4038,true,2020-10-12 22:06:43 +0900,2020-10-12 22:06:43 +0900,38
