id,student_id,correct,created_at,updated_at,old_word_id,old_word_test_id
143,1,true,2020-10-22 00:21:14 +0900,2020-10-22 00:21:14 +0900,124,43
144,1,false,2020-10-22 00:21:19 +0900,2020-10-22 00:21:19 +0900,209,43
145,1,false,2020-10-22 00:33:23 +0900,2020-10-22 00:33:23 +0900,171,45
146,1,false,2020-10-22 01:05:42 +0900,2020-10-22 01:05:42 +0900,240,52
147,1,false,2020-10-22 01:05:44 +0900,2020-10-22 01:05:44 +0900,1,52
148,1,false,2020-10-22 01:05:47 +0900,2020-10-22 01:05:47 +0900,73,52
149,1,false,2020-10-22 01:05:50 +0900,2020-10-22 01:05:50 +0900,203,52
150,1,false,2020-10-22 01:05:57 +0900,2020-10-22 01:05:57 +0900,377,52
151,1,true,2020-10-22 01:06:01 +0900,2020-10-22 01:06:01 +0900,314,52
152,1,false,2020-10-22 01:06:04 +0900,2020-10-22 01:06:04 +0900,178,52
153,1,false,2020-10-22 01:06:08 +0900,2020-10-22 01:06:08 +0900,306,52
154,1,false,2020-10-22 01:06:11 +0900,2020-10-22 01:06:11 +0900,158,52
155,1,false,2020-10-22 01:06:13 +0900,2020-10-22 01:06:13 +0900,154,52
156,1,true,2020-10-22 22:00:13 +0900,2020-10-22 22:00:13 +0900,26,53
157,1,true,2020-10-22 22:00:18 +0900,2020-10-22 22:00:18 +0900,238,53
158,1,true,2020-10-22 22:00:23 +0900,2020-10-22 22:00:23 +0900,60,53
159,1,false,2020-10-22 22:00:27 +0900,2020-10-22 22:00:27 +0900,237,53
160,1,false,2020-10-22 22:00:34 +0900,2020-10-22 22:00:34 +0900,197,53
161,1,false,2020-10-22 22:00:41 +0900,2020-10-22 22:00:41 +0900,152,53
162,1,false,2020-10-22 22:00:46 +0900,2020-10-22 22:00:46 +0900,117,53
163,1,false,2020-10-22 22:00:51 +0900,2020-10-22 22:00:51 +0900,441,53
164,1,true,2020-10-22 22:00:58 +0900,2020-10-22 22:00:58 +0900,405,53
165,1,false,2020-10-22 22:01:05 +0900,2020-10-22 22:01:05 +0900,291,53
166,1,true,2020-10-22 22:01:09 +0900,2020-10-22 22:01:09 +0900,146,53
167,2,true,2020-10-22 22:01:13 +0900,2020-10-22 22:01:13 +0900,83,54
168,1,false,2020-10-22 22:01:15 +0900,2020-10-22 22:01:15 +0900,429,53
169,2,false,2020-10-22 22:01:17 +0900,2020-10-22 22:01:17 +0900,257,54
170,1,true,2020-10-22 22:01:20 +0900,2020-10-22 22:01:20 +0900,302,53
171,2,true,2020-10-22 22:01:22 +0900,2020-10-22 22:01:22 +0900,88,54
172,1,true,2020-10-22 22:01:24 +0900,2020-10-22 22:01:24 +0900,55,53
173,2,true,2020-10-22 22:01:26 +0900,2020-10-22 22:01:26 +0900,313,54
174,2,true,2020-10-22 22:01:30 +0900,2020-10-22 22:01:30 +0900,17,54
175,1,false,2020-10-22 22:01:30 +0900,2020-10-22 22:01:30 +0900,369,53
176,2,true,2020-10-22 22:01:36 +0900,2020-10-22 22:01:36 +0900,33,54
177,1,true,2020-10-22 22:01:37 +0900,2020-10-22 22:01:37 +0900,46,53
178,2,true,2020-10-22 22:01:41 +0900,2020-10-22 22:01:41 +0900,244,54
179,1,false,2020-10-22 22:01:43 +0900,2020-10-22 22:01:43 +0900,177,53
180,2,true,2020-10-22 22:01:45 +0900,2020-10-22 22:01:45 +0900,170,54
181,1,true,2020-10-22 22:01:47 +0900,2020-10-22 22:01:47 +0900,11,53
182,2,true,2020-10-22 22:01:49 +0900,2020-10-22 22:01:49 +0900,297,54
183,1,true,2020-10-22 22:01:53 +0900,2020-10-22 22:01:53 +0900,340,53
184,2,true,2020-10-22 22:01:53 +0900,2020-10-22 22:01:53 +0900,341,54
185,1,false,2020-10-22 22:01:58 +0900,2020-10-22 22:01:58 +0900,350,53
186,1,false,2020-10-22 22:02:02 +0900,2020-10-22 22:02:02 +0900,88,53
187,1,true,2020-10-22 22:02:07 +0900,2020-10-22 22:02:07 +0900,290,53
